relative_path,rules,first_paragraph_preview
晋书/志/第九章/target.summary.txt,generic_history_opening,"The evolution of ritual and ceremonial systems in ancient China, emphasizing their role in maintaining social order and moral conduct. Humans possess spiritual energy and emotions, and sages established rituals to control arrogance, worship heaven and earth, and define social hierarchies, thereby ensuring good governance. The text references the concept that self-restraint and a return to ritual can lead to universal benevolence."
晋书/志/第二十章/target.summary.txt,generic_history_opening,"A comprehensive historical overview of the evolution of criminal law and punishment in ancient China, emphasizing the tension between benevolent governance and strict legal enforcement. It begins by contrasting ideal governance through etiquette, which fosters integrity, with reliance on criminal law, suggesting that the era of Emperor Wu was inferior to the Fuxi clan's time. The narrative underscores that natural principles govern human emotions and actions, and that benevolent policies, like t"
晋书/志/第十二章/target.summary.txt,generic_history_opening,"The history of music and ritual in China from ancient times to the Jin Dynasty, emphasizing their spiritual and emotional significance. Spirituality and emotion are expressed through chanting and physical movement, with the heart's essence called Tao and its reflection in images called Yong. Music is used to spread sound, praise peace, and mourn chaos. Ancient sages like Shennong and Fuxi created instruments such as harps, bells, and chimes to express the soul and imitate nature. The Yin Shang D"
梁书/列传/卷三十九/target.summary.txt,generic_history_opening,"The lives of several individuals from the Northern Wei Dynasty who later served the Liang Dynasty, focusing on their careers, military actions, and fates."
梁书/列传/卷二十三/target.summary.txt,generic_history_opening,"The lives and careers of several members of the Xiao family, descendants of Gaozu, focusing on their official positions, military campaigns, and personal virtues."
梁书/列传/卷五十二/target.summary.txt,generic_history_opening,"The principles of advance and retreat in officialdom, noting that those who only know how to advance but not retreat will face humiliation and danger. It contrasts the glorious and easy pursuit of advancement, which ignorant people strive for, with the difficult and principled act of retirement, which mediocre people fear. The text mentions historical figures like Moji, who retired after success, and Zheng Guangde, Shuguang, and Shushou, who retired according to court etiquette. It also referenc"
梁书/列传/卷四十六/target.summary.txt,generic_history_opening,"The lives and military careers of several figures from the Liang Dynasty. Hu Sengyou, a brave champion from Nanyang, served Wei and later returned to Liang, where he was appointed to guard Xiangcheng. After its capture, he returned to Wei but eventually came back to Liang, serving as a prefect with good governance. Despite his poor poetry, he remained confident. He was imprisoned for remonstrating against killing barbarian chiefs but was later released to aid Wang Sengbian against Hou Jing. He d"
汉书/传/儒林传/target.summary.txt,generic_history_opening,"The history and transmission of Confucian classics from ancient times through the Han dynasty. Ancient Confucians studied the ""Six Arts,"" a classic of the Wang Sect used by sages to clarify the Tao, correct human relations, and achieve governance. During the decline of Zhou Dao, Confucius emerged after more than two hundred years. Due to his saintly virtue but encountering difficult times, he sighed about the phoenix not coming and the river not flowing out the map. He traveled among princes, en"
汉书/传/司马迁传/target.summary.txt,generic_history_opening,"The lineage of the Sima family, who were descendants of the ancient officials Zhong and Li, responsible for astronomy and geography during the reigns of Zhuanxu, Yao, Shun, and through the Xia and Shang dynasties. During the Western Zhou, their descendant Xiu Fu was named Cheng Bo. By King Xuan of Zhou, they lost their official positions and became the Sima clan, who then served as historians for the Zhou dynasty. During the reigns of King Hui and King Xiang of Zhou, the Sima family moved to Jin"
汉书/志/天文志/target.summary.txt,generic_history_opening,"A comprehensive system of Chinese astronomy, detailing 118 star officials governing 783 stars, which serve as celestial signs for states, officials, and events. Celestial phenomena—including the movements of the five planets (Jupiter, Mars, Saturn, Venus, Mercury), comets, meteors, solar and lunar eclipses, halos, and atmospheric changes—are manifestations of yin and yang, reflecting earthly governance. A wise ruler responds to these signs by correcting policies to avert disasters."
汉书/志/律历志下/target.summary.txt,generic_history_opening,"A comprehensive system of astronomical and calendrical calculations, beginning with a series of defined numerical constants and methods. The ""method number"" is derived from multiplying the original Huang Zhong Chujiu by itself. The ""leap method"" of nineteen is used as the number of years in a chapter. The ""Tongfa"" (1,539) is obtained by multiplying the leap number by the daily number, and the ""Yuanfa"" (4,617) is three times the Tongfa. Other key numbers include the ""Zhang month"" (235), ""Moon Dha"
汉书/志/礼乐志/target.summary.txt,generic_history_opening,"The principles of the ""Six Classics"" share a common goal, with the functions of ""Li"" (ritual) and ""Yue"" (music) being particularly urgent. For individuals, forgetting propriety leads to evil and contempt; for a state, losing it brings desolation and disorder. Ritual and music are made according to the laws of heaven and earth to communicate with gods, establish human ethics, and regulate all things. Specific rituals, such as those for marriage, drinking in the countryside, mourning, and meeting "
汉书/志/郊祀志下/target.summary.txt,generic_history_opening,"The evolution of religious and sacrificial practices during the Han Dynasty, focusing on the reigns of Emperors Wu, Zhao, Xuan, Yuan, Cheng, Ai, and Ping, as well as the usurper Wang Mang. The belief in ghosts and gods in Guangdong, where King Shuou’s reverence for them allegedly extended his life to 160 years, while neglect shortened his descendants’ lives. This led to the construction of temples and divination using chicken bones. Emperor Wu, influenced by alchemists like Gongsun Qing, built p"
