pair_id,corpus,file,chunk_id,summary_idx,coverage,alignment,better_chunk,multi_chunk,too_long_or_weird,mt5_keep,notes
15,后汉书,后汉书/列传/文苑列传上/segment_sum.txt,0,0,high,yes,no,no,no,keep,"Du Du's arrest, prison writing, imperial praise, and later literary career are directly matched."
16,后汉书,后汉书/列传/文苑列传下/segment_sum.txt,1,2,low,no,yes,no,no,drop,"Current chunk is correspondence material around Zhao Yi, not the Liu Liang biography summarized."
17,晋书,晋书/志/第十七章/segment_sum.txt,17,7,low,partial,maybe,yes,yes,drop,"Summary is extremely long and encyclopedic; current chunk only covers one omen category and examples."
18,晋书,晋书/列传/第七章/segment_sum.txt,1,3,low,no,yes,no,no,drop,"Chunk deals with other matters; Sima Fu/Zhuge Ke/funeral flag discussion is not locally supported."
19,晋书,晋书/志/第四章/segment_sum.txt,3,4,low,partial,yes,yes,no,drop,"Summary focuses on cosmological measurements, but the chunk excerpt is mostly preface and historical framing."
20,晋书,晋书/列传/第十五章/segment_sum.txt,8,4,medium,partial,maybe,yes,no,drop,"Liu Tun's later career is supported, but the summary spans earlier character setup and later resistance episodes."
21,晋书,晋书/志/第十五章/segment_sum.txt,0,2,low,partial,yes,yes,no,drop,"Current chunk is a general introduction; the specific five-chariot taxonomy appears to belong later."
22,晋书,晋书/志/第二十章/segment_sum.txt,17,4,low,partial,yes,yes,no,drop,"Summary discusses broad legal reform debates; current chunk is a narrow case-based ending section."
23,晋书,晋书/列传/第十四章/segment_sum.txt,5,2,high,yes,no,no,no,keep,"Lu Qin's service, governance, promotion, poverty, and son's later refusal of office are all present."
24,晋书,晋书/志/第八章/segment_sum.txt,0,4,low,partial,yes,yes,yes,drop,"Summary is dominated by raw calendrical constants; chunk excerpt is only introductory historiography."
25,梁书,梁书/本纪/卷三/segment_sum.txt,0,0,high,yes,no,no,no,keep,"Annalistic summary is directly grounded in the events listed in the chunk."
26,梁书,梁书/列传/卷五十/segment_sum.txt,13,7,high,yes,no,no,no,keep,"He Sicheng/He Zilang details align tightly with the chunk."
27,梁书,梁书/列传/卷七/segment_sum.txt,1,3,low,no,yes,no,no,drop,"Summary is about Empress Xiao Yan, but the selected chunk excerpt is about another male figure and appointments."
28,梁书,梁书/列传/卷二十一/segment_sum.txt,7,7,high,yes,no,no,no,keep,"Wang Xi's childhood diligence, eye damage, education, court recognition, and withdrawal are directly supported."
29,梁书,梁书/列传/卷十六/segment_sum.txt,3,1,medium,partial,maybe,yes,no,borderline,"The chunk supports Zhang Ji's early and middle career, but later death and family details likely require other chunks."
30,梁书,梁书/列传/卷五十五/segment_sum.txt,4,2,low,no,yes,no,no,drop,"Summary is about Xiao Zhengde, while the chunk excerpt is on Xiao Ji and unrelated omens."
31,梁书,梁书/列传/卷二十一/segment_sum.txt,5,5,high,yes,no,no,no,keep,"Wang Tai's childhood restraint, fairness in selection, scholarly reputation, and early death align well."
32,梁书,梁书/列传/卷二十二/segment_sum.txt,9,4,low,no,yes,no,no,drop,"Summary is about Xiao Hui, but the chunk excerpt is centered on Xiao Gong's military/governorship material."
33,汉书,汉书/传/萧何曹参传/segment_sum.txt,1,2,low,partial,yes,yes,no,drop,"Current chunk is still about ranking and provisioning logic; the summary spans much later rebellions and imprisonment episodes."
34,汉书,汉书/传/司马相如传上/segment_sum.txt,0,1,high,yes,no,no,no,keep,"The Wang Ji invitation and banquet episode is directly in the chunk."
35,汉书,汉书/传/叙传上/segment_sum.txt,0,1,high,yes,no,no,no,keep,"Ban family genealogy and Banbo's early career are well supported."
36,汉书,汉书/传/西域传上/segment_sum.txt,0,1,low,partial,yes,yes,no,drop,"Summary mixes geography, political history, Xiongnu control, and Han expansion beyond what this opening chunk alone supports."
37,汉书,汉书/传/叙传下/segment_sum.txt,10,1,low,no,yes,no,no,drop,"Summary describes the chapter-outline section, but the chunk excerpt is a later run of chapter notices and commentary."
38,汉书,汉书/传/薛宣朱博传/segment_sum.txt,5,0,low,no,yes,no,no,drop,"The summary covers Xue Xuan's full life; the chunk only shows his late family disputes and accusations."
39,汉书,汉书/传/萧望之传/segment_sum.txt,4,4,high,yes,no,no,no,keep,"Marriage alliance debate and anti-war advice against attacking the Xiongnu are both directly supported."
40,汉书,汉书/纪/昭帝纪/segment_sum.txt,0,0,medium,partial,maybe,yes,no,drop,"The opening chunk supports accession and regency, but the summary ranges across the whole reign, including much later reforms and Su Wu's return."
